trial_idx,unique_state_visited,turn_machine_on,num_steps,total_reward,num_questions,num_correct,trial_duration
0,9,True,32,0.0,4,3,61.737285
1,8,True,32,0.0,4,3,64.571934
2,6,True,32,0.0,4,3,73.0618
3,10,True,32,0.0,4,4,68.511065
4,12,True,32,0.0,4,3,61.89577
5,9,True,32,0.0,4,4,75.624017
6,9,True,32,0.0,4,3,70.126855
7,8,True,32,0.0,4,3,76.803903
8,6,True,32,0.0,4,3,68.218739
9,6,True,32,0.0,4,3,81.391006
10,11,True,32,0.0,4,4,67.988346
11,13,True,32,0.0,4,3,64.871816
12,7,True,32,0.0,4,3,73.604012
13,7,True,32,0.0,4,3,74.398975
14,7,True,32,0.0,4,3,75.787783
15,6,True,32,0.0,4,3,64.729372
