trial_idx,unique_state_visited,turn_machine_on,num_steps,total_reward,num_questions,num_correct,trial_duration
0,19,True,32,0.0,8,6,0.001638
1,12,True,32,0.0,8,4,0.001604
2,22,True,32,0.0,8,4,0.001628
3,12,True,32,0.0,8,2,0.001593
4,10,True,32,0.0,8,3,0.001597
5,14,True,32,0.0,8,6,0.001602
6,17,True,32,0.0,8,3,0.001602
7,15,True,32,0.0,8,4,0.001595
8,17,True,32,0.0,8,4,0.001592
9,16,True,32,0.0,8,4,0.001597
10,14,True,32,0.0,8,5,0.001589
11,12,True,32,0.0,8,5,0.001584
12,14,True,32,0.0,8,2,0.001603
13,14,True,32,0.0,8,5,0.001575
14,16,True,32,0.0,8,2,0.001594
15,18,True,32,0.0,8,5,0.001581
