trial_idx,unique_state_visited,turn_machine_on,num_steps,total_reward,num_questions,num_correct,trial_duration
0,14,True,32,0.0,6,6,96.146498
1,11,True,28,0.0,6,6,97.811796
2,9,True,32,0.0,6,6,132.033366
3,13,True,32,0.0,6,6,118.947083
4,13,True,32,0.0,6,6,129.097133
5,9,True,32,0.0,6,6,109.877972
6,9,True,22,0.0,6,6,81.633795
7,9,True,32,0.0,6,6,112.163849
8,13,True,27,0.0,6,5,112.050889
9,13,True,32,0.0,6,6,106.661495
10,15,True,32,0.0,6,6,123.410296
11,14,True,32,0.0,6,6,137.485187
12,9,True,25,0.0,6,6,95.040624
13,11,True,32,0.0,6,6,127.906957
14,19,True,32,0.0,6,5,133.842542
15,8,True,18,0.0,6,6,76.789407
