trial_idx,unique_state_visited,turn_machine_on,num_steps,total_reward,num_questions,num_correct,trial_duration
0,18,True,32,0.0,8,7,122.353348
1,14,True,32,0.0,8,7,132.864428
2,17,True,32,0.0,8,5,102.807687
3,1,False,32,0.0,8,6,80.948444
4,15,True,32,0.0,8,6,88.41546
5,18,True,32,0.0,8,8,104.267482
6,13,True,32,0.0,8,7,126.884199
7,24,True,32,0.0,8,6,121.973315
8,23,True,32,0.0,8,4,90.908353
9,20,True,32,0.0,8,6,93.398016
10,17,True,32,0.0,8,4,86.379955
11,12,True,32,0.0,8,4,95.67653
12,24,True,32,0.0,8,7,109.430744
13,24,True,32,0.0,8,7,99.224758
14,20,True,32,0.0,8,5,111.691937
15,23,True,32,0.0,8,7,108.892887
