[2025-02-28 13:07:18,954][__main__][INFO] - Current working directory: /home/anthony/Project/rl-scm-tests/blicket_text/exp_output/2025.02.28/130718/0
[2025-02-28 13:07:19,570][__main__][INFO] - Environment created: <env.blicket_text.BlicketTextEnv object at 0x7f70592341d0>, with 12 objects. Object names: ['object 0', 'object 1', 'object 2', 'object 3', 'object 4', 'object 5', 'object 6', 'object 7', 'object 8', 'object 9', 'object 10', 'object 11']. Blicket indices: [3, 6]
[2025-02-28 13:07:19,570][__main__][INFO] - Running agent <agent.normative_agent.NormativeAgent object at 0x7f705bc58510> for 128 trials...
[2025-02-28 13:07:19,570][__main__][INFO] - Starting trial 0...
[2025-02-28 13:07:20,808][__main__][INFO] - Trial 0 completed in 32 steps. Questions correct: 10/12
[2025-02-28 13:07:20,808][__main__][INFO] - Estimated cost so far: 0
[2025-02-28 13:07:20,808][__main__][INFO] - Starting trial 1...
[2025-02-28 13:07:22,051][__main__][INFO] - Trial 1 completed in 32 steps. Questions correct: 10/12
[2025-02-28 13:07:22,051][__main__][INFO] - Estimated cost so far: 0
[2025-02-28 13:07:22,051][__main__][INFO] - Starting trial 2...
[2025-02-28 13:07:23,301][__main__][INFO] - Trial 2 completed in 32 steps. Questions correct: 4/12
[2025-02-28 13:07:23,301][__main__][INFO] - Estimated cost so far: 0
[2025-02-28 13:07:23,301][__main__][INFO] - Starting trial 3...
[2025-02-28 13:07:24,555][__main__][INFO] - Trial 3 completed in 32 steps. Questions correct: 9/12
[2025-02-28 13:07:24,555][__main__][INFO] - Estimated cost so far: 0
[2025-02-28 13:07:24,555][__main__][INFO] - Starting trial 4...
[2025-02-28 13:07:25,813][__main__][INFO] - Trial 4 completed in 32 steps. Questions correct: 7/12
[2025-02-28 13:07:25,813][__main__][INFO] - Estimated cost so far: 0
[2025-02-28 13:07:25,813][__main__][INFO] - Starting trial 5...
[2025-02-28 13:07:27,072][__main__][INFO] - Trial 5 completed in 32 steps. Questions correct: 7/12
[2025-02-28 13:07:27,072][__main__][INFO] - Estimated cost so far: 0
[2025-02-28 13:07:27,072][__main__][INFO] - Starting trial 6...
[2025-02-28 13:07:28,333][__main__][INFO] - Trial 6 completed in 32 steps. Questions correct: 7/12
[2025-02-28 13:07:28,333][__main__][INFO] - Estimated cost so far: 0
[2025-02-28 13:07:28,333][__main__][INFO] - Starting trial 7...
[2025-02-28 13:07:29,598][__main__][INFO] - Trial 7 completed in 32 steps. Questions correct: 8/12
[2025-02-28 13:07:29,598][__main__][INFO] - Estimated cost so far: 0
[2025-02-28 13:07:29,598][__main__][INFO] - Starting trial 8...
[2025-02-28 13:07:30,864][__main__][INFO] - Trial 8 completed in 32 steps. Questions correct: 9/12
[2025-02-28 13:07:30,864][__main__][INFO] - Estimated cost so far: 0
[2025-02-28 13:07:30,864][__main__][INFO] - Starting trial 9...
[2025-02-28 13:07:32,133][__main__][INFO] - Trial 9 completed in 32 steps. Questions correct: 9/12
[2025-02-28 13:07:32,133][__main__][INFO] - Estimated cost so far: 0
[2025-02-28 13:07:32,133][__main__][INFO] - Starting trial 10...
[2025-02-28 13:07:33,403][__main__][INFO] - Trial 10 completed in 32 steps. Questions correct: 9/12
[2025-02-28 13:07:33,404][__main__][INFO] - Estimated cost so far: 0
[2025-02-28 13:07:33,404][__main__][INFO] - Starting trial 11...
[2025-02-28 13:07:34,676][__main__][INFO] - Trial 11 completed in 32 steps. Questions correct: 8/12
[2025-02-28 13:07:34,676][__main__][INFO] - Estimated cost so far: 0
[2025-02-28 13:07:34,676][__main__][INFO] - Starting trial 12...
[2025-02-28 13:07:35,950][__main__][INFO] - Trial 12 completed in 32 steps. Questions correct: 8/12
