trial_idx,unique_state_visited,turn_machine_on,num_steps,total_reward,num_questions,num_correct,trial_duration
0,16,True,32,0.0,6,6,93.668202
1,18,True,32,0.0,6,3,79.116189
2,22,True,32,0.0,6,4,77.238358
3,19,True,32,0.0,6,4,96.193233
4,15,True,32,0.0,6,5,76.693448
5,16,True,32,0.0,6,5,103.977547
6,11,True,32,0.0,6,5,107.114828
7,14,True,32,0.0,6,5,86.251139
8,15,True,32,0.0,6,5,94.787812
9,18,True,32,0.0,6,5,89.984226
10,17,True,32,0.0,6,4,110.695628
11,14,True,32,0.0,6,5,97.029291
12,14,True,32,0.0,6,3,135.376144
13,20,True,32,0.0,6,5,89.880876
14,18,True,32,0.0,6,5,95.107583
15,19,True,32,0.0,6,4,189.169143
