trial_idx,unique_state_visited,turn_machine_on,num_steps,total_reward,num_questions,num_correct,trial_duration
0,7,True,32,0.0,4,4,55.859062
1,7,True,32,0.0,4,4,71.65218
2,11,True,32,0.0,4,3,73.715882
3,7,True,32,0.0,4,4,59.837059
4,9,True,32,0.0,4,3,59.000858
5,7,True,32,0.0,4,3,66.087735
6,13,True,32,0.0,4,3,68.512245
7,12,True,32,0.0,4,4,66.751694
8,14,True,32,0.0,4,3,75.606343
9,12,True,32,0.0,4,4,66.141943
10,10,True,32,0.0,4,3,64.650308
11,11,True,32,0.0,4,4,66.308897
12,16,True,32,0.0,4,4,68.275192
13,10,True,32,0.0,4,3,68.451849
14,10,True,32,0.0,4,3,79.132625
15,9,True,32,0.0,4,4,67.77715
