trial_idx,unique_state_visited,turn_machine_on,num_steps,total_reward,num_questions,num_correct,trial_duration
0,11,True,32,0.0,4,4,59.776031
1,19,True,32,0.0,4,3,75.922761
2,13,True,32,0.0,4,3,72.568352
3,13,True,32,0.0,4,4,62.031206
4,11,True,32,0.0,4,3,53.106146
5,13,True,32,0.0,4,4,51.894171
6,12,True,32,0.0,4,3,55.972706
7,13,True,32,0.0,4,3,54.416428
8,11,True,32,0.0,4,3,59.038689
9,10,True,32,0.0,4,4,52.085065
10,10,True,32,0.0,4,3,72.672831
11,7,True,32,0.0,4,4,47.424877
12,14,True,32,0.0,4,4,58.228964
13,13,True,32,0.0,4,4,56.289517
14,13,True,32,0.0,4,4,61.295241
15,16,True,32,0.0,4,1,57.636537
