trial_idx,unique_state_visited,turn_machine_on,num_steps,total_reward,num_questions,num_correct,trial_duration
0,11,True,32,0.0,4,3,67.590534
1,9,True,32,0.0,4,3,76.057395
2,10,True,32,0.0,4,3,73.43001
3,7,True,32,0.0,4,3,84.461095
4,7,True,32,0.0,4,1,77.754932
5,9,True,32,0.0,4,3,65.4345
6,12,True,32,0.0,4,3,65.479118
7,5,True,32,0.0,4,3,77.05575
8,7,True,32,0.0,4,3,65.718032
9,7,True,32,0.0,4,3,64.899277
10,11,True,32,0.0,4,3,64.899541
11,9,True,32,0.0,4,3,63.171681
12,6,True,32,0.0,4,3,69.66086
13,6,True,32,0.0,4,3,79.996087
14,7,True,32,0.0,4,3,78.854144
15,8,True,32,0.0,4,2,80.797928
