trial_idx,unique_state_visited,turn_machine_on,num_steps,total_reward,num_questions,num_correct,trial_duration
0,12,True,29,0.0,4,3,100.341262
1,7,True,32,0.0,4,3,129.943933
2,13,True,32,0.0,4,3,117.577459
3,10,True,32,0.0,4,2,95.176954
4,9,True,32,0.0,4,2,101.19265
5,11,True,32,0.0,4,3,99.466938
6,9,True,32,0.0,4,3,106.367479
7,14,True,32,0.0,4,3,116.209097
8,8,True,32,0.0,4,3,108.593423
9,12,True,32,0.0,4,3,115.436447
10,13,True,32,0.0,4,3,113.038061
11,10,True,27,0.0,4,4,95.202195
12,10,True,32,0.0,4,3,112.989633
13,11,True,32,0.0,4,2,118.506564
14,14,True,32,0.0,4,3,121.883664
15,9,True,32,0.0,4,2,97.792643
