trial_idx,unique_state_visited,turn_machine_on,num_steps,total_reward,num_questions,num_correct,trial_duration
0,16,True,32,0.0,6,3,63.598712
1,16,True,32,0.0,6,3,60.175875
2,13,True,32,0.0,6,5,69.381016
3,20,True,32,0.0,6,4,59.364743
4,10,True,32,0.0,6,2,85.869196
5,14,True,32,0.0,6,6,56.588491
6,20,True,32,0.0,6,3,77.902705
7,18,True,32,0.0,6,4,63.796383
8,15,True,32,0.0,6,5,75.624364
9,12,True,32,0.0,6,3,67.681164
10,11,True,32,0.0,6,5,60.388539
11,19,True,32,0.0,6,6,55.046958
12,14,True,32,0.0,6,3,68.7839
13,8,True,32,0.0,6,3,66.942047
14,18,True,32,0.0,6,4,60.620978
15,17,True,32,0.0,6,6,78.750021
