trial_idx,unique_state_visited,turn_machine_on,num_steps,total_reward,num_questions,num_correct,trial_duration
0,12,True,32,0.0,6,6,98.882728
1,8,True,32,0.0,6,6,61.057411
2,12,True,32,0.0,6,6,70.650481
3,10,True,32,0.0,6,6,62.847191
4,11,True,32,0.0,6,6,63.371258
5,17,True,32,0.0,6,6,62.747568
6,12,True,32,0.0,6,6,59.633086
7,11,True,32,0.0,6,6,66.602834
8,12,True,32,0.0,6,5,61.774132
9,9,True,32,0.0,6,6,81.804459
10,16,True,32,0.0,6,6,66.604303
11,14,True,32,0.0,6,3,79.937025
12,11,True,32,0.0,6,5,63.463034
13,10,True,32,0.0,6,6,56.731769
14,11,True,32,0.0,6,3,77.64402
15,1,True,32,0.0,6,4,71.589102
