trial_idx,unique_state_visited,turn_machine_on,num_steps,total_reward,num_questions,num_correct,trial_duration
0,8,True,32,0.0,8,7,93.04963
1,12,True,32,0.0,8,7,89.054952
2,13,True,32,0.0,8,6,84.63302
3,11,True,32,0.0,8,8,83.141519
4,11,True,32,0.0,8,7,85.895217
5,15,True,32,0.0,8,7,84.137409
6,1,True,32,0.0,8,6,88.465123
7,11,True,32,0.0,8,7,79.464176
8,11,True,32,0.0,8,7,74.246044
9,12,True,32,0.0,8,7,97.461887
10,9,True,32,0.0,8,8,120.342492
11,15,True,32,0.0,8,7,75.54814
12,16,True,32,0.0,8,8,98.617035
13,14,True,32,0.0,8,7,85.704296
14,10,True,32,0.0,8,8,77.157998
15,13,True,32,0.0,8,6,100.221545
