trial_idx,unique_state_visited,turn_machine_on,num_steps,total_reward,num_questions,num_correct,trial_duration
0,15,True,32,0.0,4,1,76.587607
1,16,True,32,0.0,4,1,69.980867
2,14,True,32,0.0,4,3,49.588027
3,17,True,32,0.0,4,3,60.612387
4,12,True,32,0.0,4,2,63.992034
5,8,True,32,0.0,4,3,52.795336
6,11,True,32,0.0,4,3,47.810526
7,14,True,32,0.0,4,3,56.286093
8,16,True,32,0.0,4,2,66.725475
9,9,True,32,0.0,4,1,75.568959
10,16,True,32,0.0,4,1,53.111932
11,10,True,32,0.0,4,3,75.711246
12,13,True,32,0.0,4,1,67.714409
13,9,True,32,0.0,4,2,74.992257
14,8,True,32,0.0,4,3,56.892868
15,6,True,32,0.0,4,2,88.383815
