trial_idx,unique_state_visited,turn_machine_on,num_steps,total_reward,num_questions,num_correct,trial_duration
0,15,True,32,0.0,4,3,70.025555
1,19,True,32,0.0,4,1,53.489794
2,20,True,32,0.0,4,1,56.401013
3,8,True,32,0.0,4,3,54.641058
4,18,True,32,0.0,4,2,51.353065
5,21,True,32,0.0,4,3,51.254585
6,14,True,32,0.0,4,4,65.397942
7,11,True,32,0.0,4,3,50.111925
8,13,True,32,0.0,4,3,67.134889
9,16,True,32,0.0,4,3,82.079168
10,7,True,32,0.0,4,0,55.874129
11,18,True,32,0.0,4,1,62.135005
12,14,True,32,0.0,4,2,57.814764
13,15,True,32,0.0,4,2,64.389078
14,15,True,32,0.0,4,2,64.783276
15,7,True,32,0.0,4,3,48.710011
