[2025-02-27 01:31:18,402][__main__][INFO] - Current working directory: /home/anthony/Project/rl-scm-tests/blicket_text/exp_output/2025.02.27/013117/0
[2025-02-27 01:31:19,060][__main__][INFO] - Environment created: <env.blicket_text.BlicketTextEnv object at 0x7f04429dda90>, with 4 objects. Object names: ['object 0', 'object 1', 'object 2', 'object 3']. Blicket indices: [1, 3]
[2025-02-27 01:31:19,060][__main__][INFO] - Running agent <agent.normative_agent.NormativeAgent object at 0x7f0442290150> for 128 trials...
[2025-02-27 01:31:19,060][__main__][INFO] - Starting trial 0...
[2025-02-27 01:31:19,127][__main__][INFO] - Trial 0 completed in 32 steps. Questions correct: 3/4
[2025-02-27 01:31:19,127][__main__][INFO] - Estimated cost so far: 0
[2025-02-27 01:31:19,127][__main__][INFO] - Starting trial 1...
[2025-02-27 01:31:19,191][__main__][INFO] - Trial 1 completed in 32 steps. Questions correct: 3/4
[2025-02-27 01:31:19,191][__main__][INFO] - Estimated cost so far: 0
[2025-02-27 01:31:19,191][__main__][INFO] - Starting trial 2...
[2025-02-27 01:31:19,255][__main__][INFO] - Trial 2 completed in 32 steps. Questions correct: 3/4
[2025-02-27 01:31:19,255][__main__][INFO] - Estimated cost so far: 0
[2025-02-27 01:31:19,255][__main__][INFO] - Starting trial 3...
[2025-02-27 01:31:19,318][__main__][INFO] - Trial 3 completed in 32 steps. Questions correct: 3/4
[2025-02-27 01:31:19,318][__main__][INFO] - Estimated cost so far: 0
[2025-02-27 01:31:19,318][__main__][INFO] - Starting trial 4...
[2025-02-27 01:31:19,382][__main__][INFO] - Trial 4 completed in 32 steps. Questions correct: 3/4
[2025-02-27 01:31:19,384][__main__][INFO] - Estimated cost so far: 0
[2025-02-27 01:31:19,384][__main__][INFO] - Starting trial 5...
[2025-02-27 01:31:19,448][__main__][INFO] - Trial 5 completed in 32 steps. Questions correct: 4/4
[2025-02-27 01:31:19,448][__main__][INFO] - Estimated cost so far: 0
[2025-02-27 01:31:19,448][__main__][INFO] - Starting trial 6...
[2025-02-27 01:31:19,512][__main__][INFO] - Trial 6 completed in 32 steps. Questions correct: 4/4
[2025-02-27 01:31:19,512][__main__][INFO] - Estimated cost so far: 0
[2025-02-27 01:31:19,512][__main__][INFO] - Starting trial 7...
[2025-02-27 01:31:19,576][__main__][INFO] - Trial 7 completed in 32 steps. Questions correct: 4/4
[2025-02-27 01:31:19,576][__main__][INFO] - Estimated cost so far: 0
[2025-02-27 01:31:19,576][__main__][INFO] - Starting trial 8...
[2025-02-27 01:31:19,641][__main__][INFO] - Trial 8 completed in 32 steps. Questions correct: 4/4
[2025-02-27 01:31:19,641][__main__][INFO] - Estimated cost so far: 0
[2025-02-27 01:31:19,641][__main__][INFO] - Starting trial 9...
[2025-02-27 01:31:19,705][__main__][INFO] - Trial 9 completed in 32 steps. Questions correct: 4/4
[2025-02-27 01:31:19,705][__main__][INFO] - Estimated cost so far: 0
[2025-02-27 01:31:19,705][__main__][INFO] - Starting trial 10...
[2025-02-27 01:31:19,770][__main__][INFO] - Trial 10 completed in 32 steps. Questions correct: 4/4
[2025-02-27 01:31:19,770][__main__][INFO] - Estimated cost so far: 0
[2025-02-27 01:31:19,770][__main__][INFO] - Starting trial 11...
[2025-02-27 01:31:19,835][__main__][INFO] - Trial 11 completed in 32 steps. Questions correct: 4/4
[2025-02-27 01:31:19,835][__main__][INFO] - Estimated cost so far: 0
[2025-02-27 01:31:19,835][__main__][INFO] - Starting trial 12...
[2025-02-27 01:31:19,900][__main__][INFO] - Trial 12 completed in 32 steps. Questions correct: 4/4
[2025-02-27 01:31:19,900][__main__][INFO] - Estimated cost so far: 0
[2025-02-27 01:31:19,900][__main__][INFO] - Starting trial 13...
[2025-02-27 01:31:19,965][__main__][INFO] - Trial 13 completed in 32 steps. Questions correct: 4/4
[2025-02-27 01:31:19,965][__main__][INFO] - Estimated cost so far: 0
[2025-02-27 01:31:19,965][__main__][INFO] - Starting trial 14...
[2025-02-27 01:31:20,030][__main__][INFO] - Trial 14 completed in 32 steps. Questions correct: 4/4
[2025-02-27 01:31:20,030][__main__][INFO] - Estimated cost so far: 0
[2025-02-27 01:31:20,030][__main__][INFO] - Starting trial 15...
