trial_idx,unique_state_visited,turn_machine_on,num_steps,total_reward,num_questions,num_correct,trial_duration
0,9,True,32,0.0,8,8,54.502392
1,13,True,32,0.0,8,7,54.861892
2,14,True,32,0.0,8,6,63.69494
3,10,True,32,0.0,8,8,53.911764
4,15,True,32,0.0,8,7,61.312705
5,10,True,32,0.0,8,8,61.61086
6,13,True,32,0.0,8,7,58.892047
7,18,True,32,0.0,8,5,63.134354
8,18,True,32,0.0,8,6,80.698043
9,11,True,32,0.0,8,7,72.597217
10,14,True,32,0.0,8,7,86.093512
11,12,True,32,0.0,8,8,59.752283
12,12,True,32,0.0,8,7,76.810369
13,13,True,32,0.0,8,8,65.863124
14,14,True,32,0.0,8,8,66.08699
15,17,True,32,0.0,8,7,63.435141
