trial_idx,unique_state_visited,turn_machine_on,num_steps,total_reward,num_questions,num_correct,trial_duration
0,6,False,32,0.0,4,2,47.370448
1,12,True,32,0.0,4,1,64.37825
2,9,True,32,0.0,4,3,53.91151
3,10,True,32,0.0,4,2,57.935739
4,8,True,32,0.0,4,4,53.321798
5,10,True,32,0.0,4,4,54.758281
6,12,True,32,0.0,4,3,51.276146
7,6,True,32,0.0,4,3,48.645193
8,13,True,32,0.0,4,3,65.179356
9,11,True,32,0.0,4,4,50.913042
10,7,True,32,0.0,4,2,60.118897
11,6,True,32,0.0,4,3,49.305443
12,13,True,32,0.0,4,3,50.868334
13,9,True,32,0.0,4,3,58.526514
14,7,True,32,0.0,4,3,50.218217
15,9,True,32,0.0,4,3,59.760157
