trial_idx,unique_state_visited,turn_machine_on,num_steps,total_reward,num_questions,num_correct,trial_duration
0,11,True,32,0.0,4,4,69.769623
1,12,True,32,0.0,4,2,70.573784
2,13,True,32,0.0,4,2,65.346203
3,13,True,32,0.0,4,3,66.394769
4,8,True,32,0.0,4,4,49.671635
5,13,True,32,0.0,4,3,54.864645
6,11,True,32,0.0,4,3,56.792881
7,14,True,32,0.0,4,4,49.336744
8,13,True,32,0.0,4,2,54.485455
9,15,True,32,0.0,4,4,59.97451
10,11,True,32,0.0,4,4,54.432903
11,10,True,32,0.0,4,4,57.504552
12,10,True,32,0.0,4,2,52.944881
13,11,True,32,0.0,4,1,58.426232
14,9,True,32,0.0,4,3,53.932465
15,16,True,32,0.0,4,4,68.636736
