trial_idx,unique_state_visited,turn_machine_on,num_steps,total_reward,num_questions,num_correct,trial_duration
0,14,True,32,0.0,8,4,0.001659
1,14,True,32,0.0,8,4,0.001627
2,17,False,32,0.0,8,6,0.001596
3,7,False,32,0.0,8,0,0.001596
4,18,True,32,0.0,8,7,0.001599
5,16,False,32,0.0,8,5,0.001596
6,9,False,32,0.0,8,2,0.001581
7,20,False,32,0.0,8,3,0.001593
8,15,True,32,0.0,8,3,0.001611
9,14,True,32,0.0,8,4,0.001587
10,18,True,32,0.0,8,3,0.001582
11,18,True,32,0.0,8,2,0.001583
12,15,True,32,0.0,8,4,0.001571
13,13,True,32,0.0,8,2,0.001578
14,16,True,32,0.0,8,6,0.001583
15,12,True,32,0.0,8,4,0.001603
