trial_idx,unique_state_visited,turn_machine_on,num_steps,total_reward,num_questions,num_correct,trial_duration
0,11,True,32,0.0,6,5,59.432562
1,8,True,32,0.0,6,5,71.118407
2,1,False,32,0.0,6,4,59.54623
3,11,True,32,0.0,6,5,58.294221
4,12,True,32,0.0,6,5,67.161367
5,12,True,32,0.0,6,5,53.501703
6,11,True,32,0.0,6,5,68.396222
7,11,True,32,0.0,6,4,74.972411
8,10,True,32,0.0,6,5,58.348236
9,12,True,32,0.0,6,5,73.584111
10,9,True,32,0.0,6,3,55.502312
11,11,True,32,0.0,6,5,65.484617
12,12,True,32,0.0,6,5,67.280834
13,9,True,32,0.0,6,4,53.090168
14,14,True,32,0.0,6,5,65.557431
15,14,True,32,0.0,6,5,62.877093
