trial_idx,unique_state_visited,turn_machine_on,num_steps,total_reward,num_questions,num_correct,trial_duration
0,13,True,32,0.0,8,6,66.431893
1,12,True,32,0.0,8,5,58.813888
2,12,True,32,0.0,8,7,60.603426
3,18,True,32,0.0,8,7,66.15299
4,12,True,32,0.0,8,7,59.744846
5,11,True,32,0.0,8,7,66.368765
6,11,True,32,0.0,8,6,69.084291
7,17,True,32,0.0,8,7,65.471064
8,1,False,32,0.0,8,6,58.362034
9,15,True,32,0.0,8,5,54.938951
10,15,True,32,0.0,8,6,78.194772
11,14,True,32,0.0,8,7,69.682623
12,15,True,32,0.0,8,5,65.053471
13,8,False,32,0.0,8,6,71.043049
14,14,True,32,0.0,8,6,56.426181
15,15,True,32,0.0,8,6,54.984884
