trial_idx,unique_state_visited,turn_machine_on,num_steps,total_reward,num_questions,num_correct,trial_duration
0,6,True,32,0.0,4,3,59.483922
1,8,True,32,0.0,4,3,67.641408
2,9,True,32,0.0,4,2,64.496908
3,7,True,32,0.0,4,3,64.175082
4,7,True,32,0.0,4,3,69.852701
5,9,True,32,0.0,4,3,67.379963
6,8,True,32,0.0,4,3,63.146253
7,7,True,32,0.0,4,4,67.581991
8,7,True,32,0.0,4,3,68.773847
9,11,True,32,0.0,4,3,78.36995
10,7,True,32,0.0,4,3,70.887996
11,9,True,32,0.0,4,3,69.141204
12,11,True,32,0.0,4,3,69.415986
13,7,True,32,0.0,4,3,72.367025
14,11,True,32,0.0,4,2,64.717545
15,6,True,32,0.0,4,3,66.50723
