trial_idx,unique_state_visited,turn_machine_on,num_steps,total_reward,num_questions,num_correct,trial_duration
0,12,True,32,0.0,4,4,65.789411
1,11,True,32,0.0,4,3,80.114518
2,13,True,32,0.0,4,3,59.67768
3,12,True,32,0.0,4,2,61.993613
4,13,True,32,0.0,4,4,46.938868
5,14,True,32,0.0,4,4,61.179953
6,9,True,32,0.0,4,3,62.14142
7,11,True,32,0.0,4,4,62.010291
8,12,True,32,0.0,4,3,67.046421
9,17,True,32,0.0,4,2,57.737769
10,6,True,32,0.0,4,4,58.049299
11,12,True,32,0.0,4,3,69.101695
12,10,True,32,0.0,4,4,61.93209
13,15,True,32,0.0,4,3,63.211595
14,9,True,32,0.0,4,3,55.876756
15,10,True,32,0.0,4,1,51.288461
