trial_idx,unique_state_visited,turn_machine_on,num_steps,total_reward,num_questions,num_correct,trial_duration
0,5,True,32,0.0,4,3,57.005534
1,9,True,32,0.0,4,3,58.876457
2,13,True,32,0.0,4,3,62.196269
3,6,True,32,0.0,4,3,69.925307
4,8,True,32,0.0,4,2,64.49277
5,7,True,32,0.0,4,2,52.718858
6,6,True,32,0.0,4,3,59.431049
7,7,True,32,0.0,4,3,54.027844
8,11,True,32,0.0,4,3,52.554036
9,9,True,32,0.0,4,0,64.11567
10,6,True,32,0.0,4,3,74.18792
11,10,True,32,0.0,4,3,50.366463
12,11,True,32,0.0,4,3,58.791231
13,9,True,32,0.0,4,3,81.535103
14,8,True,32,0.0,4,1,61.840898
15,7,True,32,0.0,4,3,52.649169
