trial_idx,unique_state_visited,turn_machine_on,num_steps,total_reward,num_questions,num_correct,trial_duration
0,17,True,32,0.0,8,6,65.899537
1,9,True,32,0.0,8,8,55.781132
2,13,True,32,0.0,8,7,58.461649
3,1,True,32,0.0,8,6,64.758462
4,10,True,32,0.0,8,8,66.992009
5,11,True,32,0.0,8,8,65.947181
6,1,True,32,0.0,8,5,71.831088
7,11,True,32,0.0,8,6,56.716196
8,10,True,32,0.0,8,8,62.609232
9,13,True,32,0.0,8,7,65.739174
10,10,True,32,0.0,8,8,83.998368
11,11,True,32,0.0,8,7,71.831345
12,1,True,32,0.0,8,6,65.397481
13,13,True,32,0.0,8,7,58.577172
14,10,True,32,0.0,8,7,67.783124
15,1,True,32,0.0,8,6,59.481202
