trial_idx,unique_state_visited,turn_machine_on,num_steps,total_reward,num_questions,num_correct,trial_duration
0,9,True,32,0.0,8,8,86.02877
1,9,True,32,0.0,8,7,90.894929
2,10,True,32,0.0,8,7,73.005966
3,10,True,32,0.0,8,7,73.107819
4,14,True,32,0.0,8,7,80.319348
5,14,True,32,0.0,8,7,78.305237
6,10,False,32,0.0,8,6,74.066624
7,11,True,32,0.0,8,7,69.897182
8,10,True,32,0.0,8,7,97.521857
9,9,False,32,0.0,8,6,71.8125
10,10,True,32,0.0,8,7,81.557776
11,13,True,32,0.0,8,7,84.870039
12,16,True,32,0.0,8,7,87.198751
13,12,True,32,0.0,8,7,75.451558
14,12,True,32,0.0,8,7,74.459792
15,11,True,32,0.0,8,7,82.457532
