user_id,has_prior_experience,round_number,num_tests,time_per_test_seconds,total_test_time_seconds,total_round_time_seconds,user_object_identification,ground_truth_objects,object_identification_correct,rule_inference_text,rule_choice,ground_truth_rule,rule_choice_correct
594a969df0ea1b0001558178,False,1,12,"[4.805, 6.03, 7.31, 13.811, 3.461, 4.184, 4.087, 4.853, 3.522, 3.826, 7.646, 4.227]",67.762,155.535,"[0, 1, 2, 3]","[1, 2]",False,Object 3 alone does not turn on the machine but 3 with any other object will turn it on.,disjunctive,conjunctive,False
5e3b759740e302397f294a2d,False,1,4,"[12.801, 7.902, 3.116, 3.863]",27.682,124.208,"[0, 3]","[0, 3]",True,If either object 1 or object 4 are on the platform it will turn on,disjunctive,disjunctive,True
60b788ecd24b27bb39298936,False,1,15,"[18.736, 7.23, 4.696, 5.112, 13.269, 4.587, 4.549, 7.454, 3.344, 5.393, 9.578, 4.533, 5.277, 10.305, 8]",112.063,167.515,"[2, 3]","[2, 3]",True,"Objects 3 and 4 must be on the platform to turn on the machine. Objects 1 or 2 can be on or off, it is irrelevant.",conjunctive,conjunctive,True
6154973c69da7c97996a19f6,False,1,15,"[4.178, 8.183, 3.626, 3.563, 5.716, 4.09, 6.252, 9.045, 4.871, 28.077, 4.506, 29.3, 15.646, 27.746, 10.488]",165.287,348.208,"[1, 3]","[1, 3]",True,"I think that as long as 2 and 4 are both selected, the machine will turn on.",conjunctive,conjunctive,True
62a0b34cbcc5987a8fa73c39,False,1,2,"[6.297, 4.857]",11.154,104.436,[3],"[1, 3]",False,Object 4 must be on the machine,conjunctive,conjunctive,True
661a38cd3b483dbdaafbf325,False,1,14,"[7.934, 16.06, 8.952, 4.346, 46.223, 30.946, 3.943, 13.318, 16.374, 15.14, 12.27, 5.543, 7.527, 9.271]",197.847,390.27,"[0, 1]","[0, 1]",True,It only turns on with objects 1 and 2 used together.,conjunctive,conjunctive,True
6655fd511b6c8d1fd05de12d,False,1,9,"[23.497, 8.492, 5.354, 10.986, 7.71, 41.46, 32.609, 47.156, 11.398]",188.662,285.215,"[1, 3]","[1, 3]",True,"When Object 2 and 4 are used together, this causes the object to to turn on the machine.",conjunctive,conjunctive,True
6676ddf4aeae188a30f824f5,False,1,8,"[4.056, 8.009, 2.913, 2.168, 3.8, 2.541, 4.405, 5.133]",33.025,106.684,"[1, 3]","[1, 3]",True,I think objects 2 and 4 must be active to turn the machine on.,conjunctive,conjunctive,True
66d327f02e9e567850b49aee,False,1,5,"[29.006, 10.318, 84.362, 3.79, 1.482]",128.958,208.064,"[0, 1, 2, 3]","[0, 3]",False,All objects need to be on the platform to turn on the machine.,conjunctive,conjunctive,True
672cb8ccdb8232e7fee580ed,False,1,5,"[4.157, 5.935, 4.536, 5.288, 16.632]",36.548,112.305,"[0, 2]","[0, 2]",True,Every other button,disjunctive,disjunctive,True
